"book_title","team"
"21ST BIRTHDAY",Pete
A DAY OF FALLEN NIGHT,Pete
A DAY WITH NO WORDS,Jake
A FLICKER IN THE DARK,Pete
ALL THE LIGHT WE CANNOT SEE,Jake
A LONG WALK TO WATER,Pete
APPLES NEVER FALL,Pete
A STUDY IN DROWNING,Pete
ATOMIC HABITS,Jake
BAKING YESTERYEAR,Pete
BEAUTIFUL,Jake
BECAUSE I HAD A TEACHER,Pete
BETTING ON YOU,Pete
BIG HEART LITTLE STOVE,Jake
BUILD THE LIFE YOU WANT,Pete
"CHAINSAW MAN, VOL. 12",Jake
CHECK & MATE,Jake
CLIVE CUSSLER'S DARK VECTOR,Pete
CONSTRUCTION SITE: TAKING FLIGHT!,Pete
CRAVE,Jake
CROSS DOWN,Jake
CRYING IN H MART,Pete
CURIOUS TIDES,Pete
DARK ANGEL,Jake
DEAD FALL,Pete
DEAD MOUNTAIN,Pete
DIARY OF A WIMPY KID,Jake
DIRTY THIRTY,Jake
DON'T LET THE PIGEON DRIVE THE SLEIGH!,Jake
DRAGONS LOVE TACOS,Pete
ENCORE IN DEATH,Jake
ENOUGH,Pete
FAIRY TALE,Pete
FGTEEV: OUT OF TIME!,Pete
FOREVER STRONG,Pete
FOURTH WING,Jake
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Jake
GAMBLER,Pete
GIRL IN PIECES,Pete
GOING INFINITE,Jake
GRIME AND PUNISHMENT,Pete
HAPPINESS,Pete
HAPPY PLACE,Pete
HARRY POTTER,Pete
HELL BENT,Jake
HELLO BEAUTIFUL,Pete
HIGH STAKES,Jake
HOLLY,Jake
HOOKY VOL. 3,Jake
HOUSE OF SKY AND BREATH,Jake
HOW TO BE THE LOVE YOU SEEK,Jake
HOW TO CATCH A LEPRECHAUN,Jake
HOW TO CATCH A LOVEOSAURUS,Pete
HOW TO CATCH AN ELF,Jake
HOW TO CATCH A TURKEY,Pete
HOW TO CATCH A UNICORN,Pete
HOW TO CATCH A WITCH,Pete
HOW TO CATCH THE EASTER BUNNY,Jake
IDENTITY,Jake
IDENTITY,Pete
I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,Pete
I'M GLAD MY MOM DIED,Pete
IMMORTALITY,Jake
"IMOGEN, OBVIOUSLY",Pete
INFLUENCERS,Jake
INHERITANCE,Pete
IRON FLAME,Jake
IT STARTS WITH US,Pete
I WILL FIND YOU,Jake
JACKIE,Pete
"JUJUTSU KAISEN, VOL. 20",Pete
KAREN'S HAIRCUT,Pete
KILLING THE WITCHES,Pete
KING OF GREED,Pete
LITTLE BLUE TRUCK'S VALENTINE,Jake
LONG LIVE THE PUMPKIN QUEEN,Pete
LOVE REDESIGNED,Pete
MEET ME AT THE LAKE,Pete
MURTAGH,Jake
"MY HERO ACADEMIA, VOL. 33",Pete
"MY HERO ACADEMIA, VOL. 35",Pete
MY NAME IS BARBRA,Pete
MYSTERIES OF THORN MANOR,Pete
NECESSARY TROUBLE,Pete
NIC BLAKE AND THE REMARKABLES,Pete
NO PLAN B,Jake
NOT THAT FANCY,Pete
OATH AND HONOR,Jake
OBSESSED,Pete
ONLY THE DEAD,Jake
OUT OF NOWHERE,Pete
PAGEBOY,Pete
PAINTED DEVILS,Pete
PAYBACK IN DEATH,Pete
PETE THE CAT: THE GREAT LEPRECHAUN CHASE,Pete
REFUGEE,Jake
REMARKABLY BRIGHT CREATURES,Pete
RESURRECTION WALK,Pete
ROMANTIC COMEDY,Pete
ROMNEY,Pete
SAFE AND SOUND,Jake
SHADOWS REEL,Pete
SILVER IN THE BONE,Jake
SILVER IN THE BONE,Pete
SIMPLY LIES,Jake
SKANDAR AND THE PHANTOM RIDER,Pete
SOLITAIRE,Jake
"SOMETHING, SOMEDAY",Jake
"SONG OF SILVER, FLAME LIKE NIGHT",Pete
SPARRING PARTNERS,Pete
SPELL BOUND,Pete
"SPY X FAMILY, VOL. 9",Pete
"START, STAY, OR LEAVE",Pete
STORM WATCH,Jake
SWEET ENOUGH,Pete
"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",Pete
THE 23RD MIDNIGHT,Jake
THE 23RD MIDNIGHT,Pete
THE ARMOR OF LIGHT,Pete
THE BOYS FROM BILOXI,Jake
THE CABINET OF DR. LENG,Pete
THE COLLECTOR,Jake
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,Jake
THE COVENANT OF WATER,Pete
THE CRAYONS GO BACK TO SCHOOL,Jake
THE DAVENPORTS,Pete
THE EDGE,Pete
THE EXCHANGE,Jake
THE GLUCOSE GODDESS METHOD,Pete
THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,Pete
THE HUNGER GAMES,Jake
THE ISLAND,Pete
THE JAILHOUSE LAWYER,Pete
THE JANUARY 6 REPORT,Jake
THE JOSIAH MANIFESTO,Pete
THE JUDGE'S LIST,Jake
THE LAST DEVIL TO DIE,Jake
THE LAST DEVIL TO DIE,Pete
THE LAST THING HE TOLD ME,Jake
THE NOISE,Pete
THE ONE AND ONLY IVAN,Jake
THE ONLY SURVIVORS,Pete
THERE ARE MOMS WAY WORSE THAN YOU,Pete
THE RUNNING GRAVE,Jake
THE RUSSIAN,Jake
THE SCARLET VEIL,Pete
THE SECRET,Jake
THESE INFINITE THREADS,Jake
THE SHIFT,Pete
THE SKULL,Jake
THE SPIRIT BARES ITS TEETH,Pete
THE STOLEN HEIR,Jake
THE STOLEN HEIR,Pete
THE SUMMER I TURNED PRETTY TRILOGY,Jake
THE WHEEL OF THE YEAR,Pete
THE WOMAN IN ME,Jake
THE WONDERFUL THINGS YOU WILL BE,Pete
THINGS WE HIDE FROM THE LIGHT,Jake
"TIME FOR SCHOOL, LITTLE BLUE TRUCK",Pete
TOM CLANCY: ZERO HOUR,Pete
TRUST,Pete
TWENTY THOUSAND FLEAS UNDER THE SEA,Pete
TWISTED LOVE,Pete
TWO ALONE,Pete
UNNATURAL DEATH,Pete
UNSCRIPTED,Pete
VINCE FLYNN: CODE RED,Jake
VINCE FLYNN: CODE RED,Pete
VINCE FLYNN: OATH OF LOYALTY,Pete
WHAT THE RIVER KNOWS,Jake
WHEN YOU TRAP A TIGER,Pete
WHY A DAUGHTER NEEDS A DAD,Jake
WHY A SON NEEDS A MOM,Pete
WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,Jake
WISH,Jake
WITHOUT A TRACE,Jake
WITHOUT A TRACE,Pete
WORTHY,Pete
WRECKER,Jake
Y'ALL EAT YET?,Pete
YOU COULD MAKE THIS PLACE BEAUTIFUL,Pete
