"publisher","quarter","total_points","rank"
Grand Central,2021-01-01 01:00:00.000 +0100,28,1
"Little, Brown",2021-01-01 01:00:00.000 +0100,19,2
Scholastic,2021-01-01 01:00:00.000 +0100,18,3
Putnam,2021-01-01 01:00:00.000 +0100,15,4
St. Martin's,2021-01-01 01:00:00.000 +0100,14,5
Delacorte,2021-01-01 01:00:00.000 +0100,14,5
"Little, Brown",2021-04-01 02:00:00.000 +0200,23,1
Grand Central,2021-04-01 02:00:00.000 +0200,21,2
HarperCollins,2021-04-01 02:00:00.000 +0200,19,3
Random House,2021-04-01 02:00:00.000 +0200,13,4
Dell,2021-04-01 02:00:00.000 +0200,12,5
St. Martin's,2021-04-01 02:00:00.000 +0200,12,5
Grand Central,2021-07-01 02:00:00.000 +0200,21,1
Emily Bestler/Atria,2021-07-01 02:00:00.000 +0200,16,2
St. Martin's,2021-07-01 02:00:00.000 +0200,16,2
HarperCollins,2021-07-01 02:00:00.000 +0200,14,4
"Little, Brown",2021-07-01 02:00:00.000 +0200,14,4
Simon & Schuster,2021-07-01 02:00:00.000 +0200,14,4
"Little, Brown",2021-10-01 02:00:00.000 +0200,20,1
Grand Central,2021-10-01 02:00:00.000 +0200,19,2
Scholastic,2021-10-01 02:00:00.000 +0200,19,2
Delacorte,2021-10-01 02:00:00.000 +0200,18,4
Morrow,2021-10-01 02:00:00.000 +0200,17,5
Grand Central,2022-01-01 01:00:00.000 +0100,28,1
Putnam,2022-01-01 01:00:00.000 +0100,17,2
Simon & Schuster,2022-01-01 01:00:00.000 +0100,16,3
Harper,2022-01-01 01:00:00.000 +0100,16,3
St. Martin's,2022-01-01 01:00:00.000 +0100,14,5
Morrow,2022-04-01 02:00:00.000 +0200,18,1
VIZ Media,2022-04-01 02:00:00.000 +0200,18,1
Putnam,2022-04-01 02:00:00.000 +0200,17,3
Grand Central,2022-04-01 02:00:00.000 +0200,16,4
Simon & Schuster,2022-04-01 02:00:00.000 +0200,14,5
"Little, Brown",2022-07-01 02:00:00.000 +0200,25,1
St. Martin's,2022-07-01 02:00:00.000 +0200,20,2
Simon & Schuster,2022-07-01 02:00:00.000 +0200,18,3
Grand Central,2022-07-01 02:00:00.000 +0200,17,4
Scholastic,2022-07-01 02:00:00.000 +0200,13,5
Delacorte,2022-07-01 02:00:00.000 +0200,13,5
Atria/Emily Bestler,2022-07-01 02:00:00.000 +0200,13,5
Grand Central,2022-10-01 02:00:00.000 +0200,29,1
Scholastic,2022-10-01 02:00:00.000 +0200,16,2
Scribner,2022-10-01 02:00:00.000 +0200,15,3
Simon & Schuster,2022-10-01 02:00:00.000 +0200,14,4
St. Martin's,2022-10-01 02:00:00.000 +0200,14,4
Grand Central,2023-01-01 01:00:00.000 +0100,33,1
Delacorte,2023-01-01 01:00:00.000 +0100,20,2
"Little, Brown",2023-01-01 01:00:00.000 +0100,19,3
St. Martin's,2023-01-01 01:00:00.000 +0100,17,4
Putnam,2023-01-01 01:00:00.000 +0100,13,5
Grand Central,2023-04-01 02:00:00.000 +0200,20,1
"Little, Brown",2023-04-01 02:00:00.000 +0200,16,2
Scholastic,2023-04-01 02:00:00.000 +0200,15,3
Knopf,2023-04-01 02:00:00.000 +0200,15,3
St. Martin's,2023-04-01 02:00:00.000 +0200,13,5
Putnam,2023-04-01 02:00:00.000 +0200,13,5
Scholastic,2023-07-01 02:00:00.000 +0200,23,1
"Little, Brown",2023-07-01 02:00:00.000 +0200,22,2
Grand Central,2023-07-01 02:00:00.000 +0200,21,3
Atria/Emily Bestler,2023-07-01 02:00:00.000 +0200,15,4
Simon & Schuster,2023-07-01 02:00:00.000 +0200,14,5
Viking,2023-07-01 02:00:00.000 +0200,14,5
Scholastic,2023-10-01 02:00:00.000 +0200,41,1
Simon & Schuster Audio,2023-10-01 02:00:00.000 +0200,20,2
Grand Central,2023-10-01 02:00:00.000 +0200,19,3
"Little, Brown",2023-10-01 02:00:00.000 +0200,18,4
Sourcebooks Jabberwocky,2023-10-01 02:00:00.000 +0200,17,5
